Video Time,Commenter,Time,Comment
,Rasel Shikder,,"৩ মাসে কি ছিড়ছেন, সেটা বলেন"
,Halim Khan,,বাংলাদেশের পুলিশের পরিবর্তন চাই
,Mahmuda Ety,,আহতদের চিকিৎসা ১ নম্বর মিশন হওয়া উচিত। উপদেষ্টা পরিযদদ
,Sayamal Kanti Dey,,মাত্র ১০০ দিনে কিভাবে জনপ্রিয়তা তলানিতে নেমে আসতো এটার জন্য একটা কমিশন গঠন করার দাবী জানাচ্ছি।
,Hasina Begum,,jara unus ar podo tek cai Tara manosi na
,Farhana Tabassum,,জামায়াত ইসলামী জিন্দাবাদ
,Bilal Hussain,,
,Md Tarikul Islam Taj,,"৫ মাস থেকে বাজেট আসে নাহ,,৫ মাস থেকে বেতন পাই নাহ,,এ দায় কার????"
,Rakib Khan,,নারায়ে তাকবির আল্লাহু আকবর
,Belal Hossin,,alhamdulillah
,Md. Al-Amin,,jamaat e islam
,Ludociel Beckett,,Nouka Khanki Magi Hasina
,Evo Rifat,,প্রতিবন্ধী লীগ
,PRINCE ISLAM,,হারপিক লীগ বার বার আর হাসিনাকে দরকার হবে না।
,rabiul islam,,একশত দিনে বাংলাদেশের মানুষের চুল ছিড়ছেন
,Ayesha Nisa,,Dr. unus will stay for a long time.
,Govt Job Bangladesh,,মৃনালের বেড পার্টনার হাসু কই
,দেশটা আমার ও আমাদের,,DSKM
,Saddam Hossain,,মুখে বললে হবে না কাজই করতে হবে বন্যায় ক্ষতিগ্রস্তদের ১০০০ কোটি টাকা কই দিবেন বলছিলেন এরকম মুখে বইলেন না কাজ করেন
,Shah Alom,,হারপিক লীগ
,MD. Saidur Rahman,,harpic lig
,Mrinmoy Chakraborty,,sudd khorr
,Rmd Shajahan,,
,Azher Babu,,জারজ লীগ কমেন্ট করছে
,As Ar,,জামায়াতে ইসলামী ও ছাত্র শিবির জিন্দাবাদ
,Nozrul Islam,,Good
,Md. Raju,,
,Robiul Islam,,ধান শিষ
,Shimanto special12,,
,Dalim Feni,,
,MD jakiul Hossain jion,,ভুয়া
,Musa Ahmed,,বাংলাদেশ ইসলামি আন্দোলন জিন্দাবাদ।
,Civil Engineering Solutions,,students jindabad
,Islam Mia,,মোঃ আবু বকর সিদ্দিক
,Abdur Rahim,,
,SB TV BD এক হও মুসলিম,,স্বৈরাচার মুক্ত বাংলাদেশ চাই
,Akelima Taluida,,আমরা ফারুকীকে চাই না
,SHAJID GAME PC,,jamat
,Santo Islam,,জয় বাংলা
,Sheikh Ibrahim,,ইশলামি ছাত্র শিবির জিন্দাবাদ
,Mominul Islam,,স্যার উপদেষ্টা পরিষদ সংস্কার করুন।
,Muhammad Rashed,,আসসালামু আলাইকুম
,Saif khan Tutol,,দ্রুত নির্বাচন দেন
,Md Raton,,joy Bangla
,Munjur Miya,,yunus shud khore podo teg korun banglar jonogon yunus des k ses Kore deac
,Md. Taif,,ভালো কিছু করেন দেশের মানুষ অন্তর্বর্তীকালীন সরকার উপর অসন্তুষ্ট
,Md Riyaz,,জয় বাংলা জয় বঙ্গবন্ধু
,Imtiazhossein Saide,,
,Rajia Sultana,,protibondi leaggue
,Mujanur 1,,জয় বাংলা জয় বঙ্গবন্ধু
,Lamim khin,,স্বৈরাচার লীগ মুক্ত বাংলাদেশ চাই
,বঞ্চিত বুকে পুঞ্জিত অভিমান,,
,Rasel Shikder,,জাতীয় বাটপার
,GaME HuBB,,Messi Goat
,অজানা,,"ইউনূসের একটাই উদ্দশ্য দেশ কে লুট করে বিদেশ পালানো, দুর্নীতিতে, চোর ডাকাতিতে ভরিয়ে দিল দেশ টা, kew চিকিৎসা পাচ্ছে না, সবাই বিনা চিকিৎসায় মরছে"
,MD Anowar Hossain,,আওয়ামী লীগের জারজ সন্তানেরা তোদের কে বলছে ভাষণ শুনতে
,In front of Lina,,দ্রব্য মূল্যের দাম কম চাই
,Iris Ali,,লুৎফুজ্জামান বাবরের মুক্তি চাই
,Tawhid Asem,,faruuuki hotao
,Asadullah Dulu,,জিনিসপত্র দামের কথা বললে জনগণ উপকৃত হবে।
,Ripon Ahmod,,রাজনৈতিক শক্তিকে সাথে নিয়ে একটি স্বপ্নের বাংলাদেশ বিনির্মাণ করুন
,BD Esports.24,,Sud kur desh ta re bikari banaya carbo
,Sheikh Mubashwir,,"কমেন্ট লীগ মাঠে আসুন, যাতে পুলিশ আপনাদের ধরতে পারে"
,Khorshed Alam,,দেশের আইন শৃংখলা খুবই খারাপ
,Salma Akter,,"যাকে তাকে উপদেষ্টা বানিয়ে এই বিপ্লব ব্যর্থ করবেননা, এ জাতি আপনার দিকে চেয়ে আছে।"
,Nahin Hossain,,জয় হাসনা এবং মৃণাল কান্তি
,Rifat Hassan Riyad,,জুলাই বিপ্লবে গনহত্যায় নেতৃত্ব দেওয়া প্রত্যেকটা আওয়ামী সৈরাচারের বিচার নিশ্চিত করতে হবে।
,Kawsar Hasan,,হারপিক লীগ
,TonMoneyy,,Harpic league!!
,MS didar bhuiyan,,স্যার ধন্যবাদ
,syed ahmed,,ইউসুফ সরকারকে চরম মূল্য দিতে হবে.... আপা আসবে
,Md: Rakib Hosen,,
,shimul hossain,,হিজলা লিগ
,city computer,,হারপিক লীগ
,Tanfi,,
,md osman97,,আলহামদুলিল্লাহ
,Gen Z Nation,,জারজ লীগ কমেন্ট করছে
,Ziaul Hoque,,@Xyz mujib mujib kalema jopen apni
,Md Mahim,,harpick leager dekhi akhon comment league
,suhag roy,,জয় বাংলা জয় বাংলা
,Selim Miah,,হারপিক লীগ নিপাত যাক
,Jennie's boyfriend,,feraun
,Opu Ahmed,,awamilig er mare sudi 15 bosor bal ser so
,Md Raton,,ভুয়া ভুয়া
,Ikhtiar Uddin Badhon,,
,Mrinmoy Chakraborty,,sudd khor
,md osman97,,সহমত সহমত পোষণ
,Masud Rana,,বাংলাদেশকে পুরাপুরি সংস্করণ না করা পযন্ত নির্বাচন চাইনা।
,MD Siraj Sir,,ফারুকী কে উপদেষ্টা থেকে বাদ দিন
,Pori,,হিন্দুদের জয় শ্রীরাম থেকে আওয়ামী লীগের জয় বাংলা উৎপত্তি হয়েছে ।
,SB TV BD এক হও মুসলিম,,ইসলামী ছাত্রশিবির জিন্দাবাদ
,Hafez Ahmed,,আওয়ামী লীগ জিন্দাবাদ
,Garden & Pet Lovers,,"ফেরাউন, নমরুদ, আবু লাহাব, মুনাফিকগুলো এই কমেন্ট বক্সে হাজির হয়েছে। এই খুনি হাসিনার দোসর গুলোকে এমন শাস্তি দান করুন যাতে ওদের চৌদ্দগুষ্টি আজীবন মনে রাখবে।"
,S m aman “S M Aman ullah” ullah,,sob jiniser dam besi keno
,Abu Sufian,,ভূয়া
,Siam tv,,ভাওতাবাজ জিন্দাবাদ
,THE PROMISE,,Joy Bangla
,Mohammad Ali,,
,Musa Ahmed,,হাত পাাখা জিন্দাবাদ।
,Ms Tania,,জয় বাংলা
,Md Mehraj WAZ369,,"আফসোস লীগকে বলবো, কমেন্টে বগবগ না করে মাঠে আই।"
,Hasan Mahmud,,BNP
,syed ahmed,,আপা
,Md Keron,,আপনি এগিয়ে যান আল্লা আমাদের সহায়
,Md Najmol Hassan,,স্যার আপনার মতো একজন মানুষের বাংলাদেশে খুব অভাব ছিলো? আপনি এসে তা পুরণ করলেন
,Emon Hasan,,joy bangla Awami League ar hada bangbo amra
,Darul Azhar M.M,,আমরা ফারুকীকে চাই না
,নিঝুম রাতের পরী,,ধন্যবাদ স্যার
,Md Saifu,,
,Sadman Sakib,,লীগ
,Nurur Zaman,,বাজার দর বাড়লো কেন? কবে কমবে নিত্য প্রয়োজনিয় জিনিসপত্রের দাম।
,Amjad Amjad,,বাজার আগে নিয়ন্ত্রণ করেন এটি ভালো হবে
,Ayesha Nisa,,Dr. unus jindabad
,MD Deluar Hossen,,নৌকা
,MD. SHAKIB HOSSEN,,
,Robiul Mia,,চালিয়ে যাও
,nazmul islam,,বিএনপি
,READ FENG FF,,NO BNP
,nayal king,,liar
,Abdul Gany,,জয় বাংলা জয় বঙ্গবন্ধু
,Apon Ali,,জয় বাংলা জয় বঙ্গবন্ধু
,ইসলাম,,Farooq Kaka jindabad
,Md Raton,,ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া ভুয়া
,Rifat Sheikh,,মারা গেছে তো হাজার হাজার পুলিশ মারা গেছে
,Al Amin,,সুন্দর
,Taniya Akhter.vlogger,,
,Samrat Fakrul,,স্বৈরাচারের কবর চাই।
,Rasel Ahmed,,কুতা লীগ
,Nasivul Islam Nehal,,ফারুকির পদত্যাগ চাই
,Prasenjit Jana,,জিতবে এবার নৌকা
,Habibur Rahman,,"আগে স্বৈরাচারের বিচার, তারপর সংস্কার, তারপর নির্বাচন চাই। তবে দ্রব্য মূল্য নিয়ন্ত্রণ করতে হবে"
,US Dollor,,Rights
,Md Mehedi Hasan,,কনডমের দাম কুমান
,Hedait Khan,,হারপিকলীগ
,Md Najmol Hassan,,
,Bayjid Hosan,,আসিব মাহতাব স্যারকে উপদেষ্টা বানানো হুক
,Azher Babu,,কমেন্ট লীগ
,Md Abu Bakar,,বাংলাদেশের সাধারণ জনগণের আশা-আকাঙ্ক্ষার প্রতিক দেশনায়ক তারেক রহমান স্যারকে অতিদ্রুত বাংলাদেশে নিয়ে আশার ব্যবস্তা করার অনুরোধ রইলো।
,Md Raton,,ভুয়া ভুয়া ভুয়া ভুয়া
,SHANTO AHAMED,,harpic lhig
,Apon Ali,,জয় বঙ্গবন্ধু
,F.B.N,,প্লিজ আপনে একটু চৌখ খোলে দেখেন কি হচ্ছে
,Mamun Mamun,,শিবেরের মারে চুদি
,Md Atiqul,,good
,Md Mahim,,satro league akhon comment league
,Opurbo Jihad,,hasinar fasi chai
,SB TV BD এক হও মুসলিম,,জামায়াতে ইসলামী বাংলাদেশ
,MD. Habibul Bashar Nafis,,awamilig er joy
,Bilal Hussain,,DR.Younus
,md osman97,,ডক্টর মোহাম্মদ ইউনুস
,Munna Islam,,বাংলাদেশ আফসোস লীগ আফসোস করতেছে
,Md Omar faruk,,আগে সংস্কার পরে নির্বাচন।
,Hafez Ahmed,,আওয়ামী লীগ জিন্দাবাদ। ডক্টর ইউনুস ইউনুস নিপাত যাক
,TECH TiPS,,
,Abu Sufian,,ভূয়া ভূয়া
,Rifat Sheikh,,হাজার হাজার পুলিশ মারা গেছে এটা কি আপনার চোখে পড়ে না
,Momi Begum,,জয় বাংলা
,SKIL BD IT,,হারপিক
,Y.m Short's,,যে নীতির কারনে গ্রাহকের আমানত চাহিবা মাত্র ব্যাংক দিতে পারে না তেমন নীতি এই নতুন বাংলাদেশে গড়ার স্বপ্নকে দুঃস্বপ্নে পরিণত করবে ।
,Amin Hossain,,নৌকা
,Al Amin,,সহমত
,Ludociel Beckett,,Awami League dekhlei khun korben
,sohel rana,,স্বৈরাচারের বিচার চাই
,JihaD 121,,Brazil er New couch lagbe
,Sheikh Mubashwir,,yeah
,Mominul Islam,,পিনাকী ভট্টাচার্য এবং ইলিয়াস ভাইকে উপদেষ্টা পরিষদ দেখতে চাই স্যার
,Jakir Hossain,,ফারুককে পদত্যাগ
,Trijoy,,sigma
,Md Sayed,,আলহামদুলিল্লাহ
,akramulislam shadin,,
,Lines of Life,,
,TS Shishir,,
,Sarder Enterprise,,
,Tarek Aziz007,,
,Top Trending Reels,,দেশকে সুস্থ করতে হবে
,SARA RAHMAN,,ভুয়া
,mst rehena,,
,Lyrics Music,,হেডার নোবেল
,Najnin Sultana,,
,FuNnY MoMeNt,,
,Mia Junayed,,
,Md Rafadul Md Rafadul,,ছাএজনতা জিন্দাবাদ
,Sunjidul Islam Rahat,,go ahad
,Hasnat Abdullah official,,মোস্তফা সরয়ার ফারুকীর অপসারণ চাই। সবাই আওয়াজ তুলুন। সমন্বয়ক হাসনাত আবদুল্লাহ
,Chandon Bissas,,yes
,Shajan Ali,,জয় বাংলা জয় বঙ্গবন্ধু
,Barua Rupon,,
,Sheikh Mubashwir,,Right
,Aftab Uddin,,বাংলাদেশ খেলাফত মজলিস জিন্দাবাদ
,MD.UZZAL. BD,,আমাদের বাংলাদেশ আবার সুন্দরভাবে চলবে ইনশাল্লাহ
,MD Nabi Hossain,,
,Md Emon9126,,ইসলামের আইন চাই
,Lovelu Hosen,,সঠিক কথা বলেছেন।
,Selim Miah,,ফারুকীর পদত্যাগ চাই
,Md. Aktar Hossain Liton,,Alhamdulillah
,Parrafin,,suiiiiiiiiiiiiiiiiiiiiiiiii
,Md Abu Hanif Vlog,,হারপিক লীগ কই
,Anik Anik,,Comments League Hedam Oi Comments Ei.
,Md Tahmidul Islam,,কওমীমাদ্রাসারা কি বেতন পাবে
,Nazma Sultana,,হারপিক লীগ সাবধান সনাক্ত করা হচ্ছে
,Amin Miah,,Jatiya party jaindabad Hussein Mohammad Ershad jaindabad
,Md Mahim,,dr.younus jindabad
,HABIBUR RAHMAN,,হাজার কোটি টাকা তাদেরকে দিয়ে দিবে???
,Md Shamim,,
,Sahidul Islam,,হারপিক লীগ
,Md Bulbul,,আপনাকে অনেক ধন্যবাদ
,Musa Ahmed,,হাত পাখা
,Civil Engineering Solutions,,5 yrs want you
,বিচিত্র বাঁধন,,
,Abdullah_Vevo_Official,,আসিফ মাহাতাব স্যারকে উপদেষ্টা বানানো হোক
,In front of Lina,,আল্লাহ আপনাকে হেফাজত করুন
,Mr Jahid,,হার পিক লিগ
,Md Al Amin,,
,Riyad ahmd,,
,Shahriar Nafis,,
,Md Ferdaus,,
,Mufty moinul Islam,,hy
,Raju Ahamed,,হারপিক লীগ
,ইসলামি মিডিয়া,,ইসলামিআন্দোলন বাংলাদেশ বাগেরহাট জেলা
,Sunjidul Islam Rahat,,go aha
,Civil Engineering Solutions,,5 yrs
,Md Saiful,,উপদেষ্টা পরিষদ আগে সংস্কার করেন
,Abdul Kader,,হারপীক লীগ
,Zahid Sobhan,,টয়লেট লীগ
,Md Alhaj abdul khaleq,,এগিয়ে যাও বাংলাদেশ
,Md Arip,,
,Belal Hossain,,নাইড়া লীগ
,Md Alauddin,,
,Ismail Khan,,জামাত ইসলাম জিন্দাবাদ
,Sohag. Monohardi,,স্যার বিএন পি যেই অপকর্ম করতাছে সেই বিষয়ে কি কোন পদক্ষেপ নিবেন????????
,Anik Anik,,Harpik League
,Its neha 🌸,,কথা গুলো কি সুন্দর না লিখে বলতে ছে
,Abdul Khaleque,,
,Azmain-NiLOY,,joy Bongoboltu joy Bongoboltu
,M. H. Travels,,right
,Md Juwel,,শুভ কামনা রইলো আপনার জন্য স্যার
,minhaz Sami,,জয় বাংলা
,Md Ali Hossain,,ছাত্র হত্যার ওপর দিয়ে আশা সরকার আপনারা
,ইসলামের ছোঁয়ায় আলোর পথে,,পীর সাহেব চরমোনাই জিন্দাবাদ
,SKIL BD IT,,হারপিক লীগ আওয়ামিলীগ
,Fawwaz shabib,,joy bNgla
,Shajada Bagum,,গরুর মাংসের দাম কমান খাইতে পাচ্ছি না
,Musfiq us shaleheen,,BNP Jindabad
,Sajib Ahmed Ridoy💜,,
,Monnan Talukdar,,
,Samiya Roy,,younus buya boyam mare
,Saiful Islam,,জামাত কে সরকার দেখতে তাই
,MD.firoze Ahmad,,yanus rigth
,সত্যের সন্ধানে প্রতিদিন,,হারপিক লীগ
,BBB,,
,MD RIPON,,হারপিক লীগ
,JihaD 121,,Bou lagbe
,Naznin Shormi,,ইউনূস is the best
,Md.shakil Hassan,,joggo upodesta der niog din.......
,Md Shamime,,সঠিক কথা বলার জন্য ধন্যবাদ
,jalal ahmed,,এগিয়ে যান
,Tamim hasan,,
,Satib Tv,,জয় মা হাসিনার জয়
,Iris Ali,,congratulations younus sir
,Md Mahim,,Dr. younus jindabad
,DHAKA STOCK EXCHANGE ANALYST,,
,MD Nabi Hossain,,বাংলাদেশের জনগণ ভোটকেন্দ্রে গিয়ে নিজের ভোট দিতে
,Pori,,নাস্তিক লীগ
,Gaji Alter,,মামুন মামুন আপনি তো জারজ সন্তান আপনার কথায় বুঝা গেলো
,Ismail Khan,,জামাত ইসলাম জিন্দাবাদ জামাত ইসলাম জিন্দাবাদ
,Md shakil,,স্যার সুদের কথা একটু বলিয়েন
,SIAM “Sia” SHIKDAR,,
,TOTO COMPANY,,বাংলাদেশের তেল শোধনাগার কেন্দ্র রয়েছে কিন্তু সেটা সচল করা হচ্ছে না আপনারা এই বিষয়ে সরকারকে বলবেন?
,Heartfelt Stories💔,,জয় বাংলা জয় বাংলা
,Md Faysal,,জয় হারপিক
,Habibur Rahman,,আহতদের চিকিৎসা ও পুনর্বাসন করতে হবে
,Mokit Liton,,ফারুকি কে বাদ দেওয়া হোক
,Nurul Islam,,চালিয়ে যান সাথে আছি
,Fazlul Haque,,"আমার দেশ পত্রিকার সম্পাদক জনাব মাহমুদুর রহমান সাব কে রাষ্ট্রপতি বাড়ানোর জন্য অনুরোধ জানাচ্ছি,"
,Musa Ahmed,,হাত পাখা। জিন্দাবাদ।
,Nusrat Jahan Shorna,,হারপিক লীগ
,Md Rafadul Md Rafadul,,আওয়ামীলীগ এখানে কেন কমেন্ট করে লজ্জা নাই
,CREATIVE DESIGN,,হারপিক লীগ
,Kaosar Hamid,,দূর হ নিষিদ্ধ লীগ
,JihaD 121,,
,Sheikh Sakilsakil,,
,Azmain-NiLOY,,harpik lig
,logos,,everyone shut up!!!!!!!
,Sara Majumder,,sir apanr ektu student ra jate bahire jete pare tader loan jate easily pay passport sohoje jeno korte pare esob bepare ektu nojor dewa dorkar
,Md Delwar Hossain,,"আপনাদের কাসে এক টাই চাওয়া পুলিশ বাহিনিকে নিরপেক্ষ করা , বিচার ব্যাবস্থা নিরপেক্ষ করা , যেন বাংলাদেশে যেন আর কখনো এই পুলিশ বাহিনি যেন কোনো দলের হয়ে কাজ না করে , ,"
,Babul Sarker Apon,,সরকারি প্রত্যেকটা সেক্টরে বেতন বাড়িয়ে দিয়ে ঘুষ দূর্নীতির বিরুদ্ধে কঠোর আইন চালু করা হোক।
,Rx Sakibul,,জয় বাংলা জয় বাংলা শেখ হাসিনা সরকার বারবার দরকার
,MD Emran Hossain,,আমার বিশ্বাস ডঃ মোঃ ইউনুস ই পারবে দেশটাকে ভালো একটা জায়গায় নিয়ে যেতে এর জন্য তার সাথে সাথে সকলকে স্বচ্ছতার সাথে এবং সতর্কতার সাথে দেশের কর্মকাণ্ড পরিচালনা করতে পারবেন বলে আমার বিশ্বাস।
,tamanna,,জয় বাংলা জয় বঙ্গবন্ধু
,Nurul Amin,,BNP BNP BNP
,Tajul Islam,,জারজলীগ
,mohammad mahamudul Huda,,
,AAA,,salute sir ...go ahead
,Zahid Hasan,,ইনশাআল্লাহ
,Abdur Rahman,,no BNP
,Md Shaoun Khan,,আফসোস লীগ
,Md Nasir Uddin,,আমরা দেশে আসার পর দেশ সোনা হয়ে গেছে
,Sheikh Mubashwir,,
,Amir Ali,,জামাত
,Djij Hufd,,সুদীরভাই
,Jamal Mijbah,,Thank you Doctor Younus
,Sumon Electric,,আপনি দেশ পরিচালনা করতে ব্যর্থ
,Parrafin,,"বাংলাদেশে শিবির,লাস ভেগাস শাখা"
,Gazi ALI HOSSAIN,,⚘
,Santo Islam,,
,MasudBillah,,এই দিকে সব গোয়া মেরে শেষ করে দিতাছে
,Md. Abu Salim,,hi
,tajiul Islam,,জামায়াতে ইসলামী জিন্দাবাদ
,Legal voice1985,,"bura khatas,july,August sohid,r satroder tel mara sara kaj nai?drobbomullo,aain Singh khola thik koren,shustho akta nirbachon diye biday hon."
,Mushalf Alavi,,durniti or onnay ar jonno cakri theke shorashori prottahar ar bebostha koren...shob jhamela kobee jabee
,Selim Miah,,হারপিক লীগ
,HABIBUR RAHMAN,,এই টাকা কি তোর বাপের???? এত টাকা তাদের দিয়ে দিবে?????
,Md Mahmood Hasan,,ডাঃ ইউনুস সারের কাছে আমাদের একটা অনুরোধ সেটা হলো আমাদের বাংলাদেশের হাজারো যুবক মালেশিয়া অনেক কষ্টে আছে তাদের কে অতিদ্রুত বৈদ ভাবে কাজ করার সুযোগ করে দেন।
,Recommended or Not,,Sir er pashe achi always
,Md Omar faruk,,বাংলাদেশ ইসলামী জিন্দাবাদ।
,Raihan Abu,,
,belalkhan. 786,,বাজার নিয়ন্ত্রণ সেনাবাহিনীকে দেওয়া হোক
,Tasnim,,
,Hasnat Babur,,
,Babul Houqe,,
,Hedait Khan,,হাম্বা লীগ
,Md Sumon,,হারপিক আওয়ামী লীগ
,Iris Ali,,nice
,নুরুউদ্দিন মিয়া,,ইসলামী আন্দোলন বাংলাদেশ জিন্দাবাদ
,T_A_Tamim_Official,,joy Bangla
,Shain,,
,Al Amin,,100%
,Ms.shajahan Ali,,ইসলামি আন্দোলন বাংলাদেশ জিন্দাবাদ স্লোগান হবে ইনশাআল্লাহ
,Dada Vai,,জয় বাংলা।
,Md Ali Hossain,,জয় বাংলা জয় বাংলা
,MD REZAUL HASAN,,Love
,MD.UZZAL. BD,,বাংলাদেশ জিন্দাবাদ জামায়াতে ইসলামী জিন্দাবাদ
,Abdul Aziz,,
,Amin Hossain,,জয় বাংলা
,MD Anowar Hossain,,দেবদাস চক্রবর্তীর ছেলেরা দেখি এখানেও আছে
,আখেরাতের মুসাফির,,প্রতিটি মসজিদের ইমাম মুয়াজ্জিন ও বিদ্যুৎ বিল মওকুফ করার দাবি জানাচ্ছি
,Khan,,জয় বাংলা জয় বঙ্গবন্ধু
,SIU07,,Boycot bnp
,Md Aminul,,আপনি এগিয়ে যান
,Bangla movie,,নৌকা নিয়ে আয় পানি তে চুবিয়ে দিব
,helal uddin,,সকল অপরাধের বিচার করে জাতিকে সস্তি দিন।
,Saudi Laif 71,,সার্বভৌমত্ব রক্ষায় সংস্কারের আগে সেনা নৌ বিমান বাহিনীকে শক্তিশালী করে তুলুন ভারত থেকে আমরা যে আক্রান্ত হবো না তার কোন গ্যারান্টি নেই বড় দেশ গুলো ছোট দেশের উপর যে সহিংস হয় তার প্রমাণ ইউক্রেন রাশিয়া
,Prasenjit Jana,,Sheikh Hasina
,M.N. ARMAN Sarwar,,গণ অধিকার পরিষদ গণ অধিকার পরিষদগণ অধিকার পরিষদ
,Tajul Islam,,বদরুললীগ
,Monir Hosen,,অবৈধ অসাংবিধানিক অশান্তির সরকার ইওনুছ
,Mr. Sharif,,পিনাকী ভট্টাচার্য কে উপদেষ্টা বানানো হোক
,Lutfor Rahman,,farooqi ke dekhte China
,Killer Eleven,,Tokai League
,Ra Hena akter,,
,Musa Ahmed,,কন্ঠে আবার লাগা জোর ফ্যাচিবাদের কবর হক।
,Ismail Hossain,,Go ahead sir....
,MD REZAUL HASAN,,Assalamu alaikum
,হাশরের দিনের দাবি এখন থেকে শুরু,,লেডী ফেরাউন
,Rakib Hasan,,
,Kabir Noor,,thanks sir
,Pabitro Pabotro,,nice
,TOTO COMPANY,,afsos lig
,Biswas Physics Academy O/A Level,,taka koi?
,Prio 6_4_6,,ফারুকীর পদত্যাগ চাই
,Selim Miah,,জামায়াত জিন্দাবাদ
,Khan,,জয় বাংলা জয় শেখ হাসিনা
,Md Shoumik,,জামায়েত ইসলামী জিন্দাবাদ
,Times-Meta,,বিএনপি নিষিদ্ধ করা হোক
,In front of Lina,,ফারুকীর পদত্যাগ চাই
,sagar modak,,প০
,Abu Zafor Md Kibria,,ফারুকীর বহিষ্কার করতে হবে।
,Politics24,,শহীদ পরিবারকে ১কোটি টাকা ও তাদের পুনর্বাসন করা হোক
,Towfiqur Rahman,,প্রাথমিক ও গণশিক্ষা মন্ত্রণালয়ের উপদেষ্টার পদত্যাগ চাই।
,Sahin Kamal,,"নিরবাচনের তারিখ দেন, এতো সংস্কার করার বাহানায়।জামাতের সাথে।মিলে।দেশ কে।রসাতলে।নিয়েন।না"
,ahki bagom,,নৌকা
,Faisal Akber,,হাসিনার ও তার দোসরদের বিচার চাই
,Teacher Refat,,boycott Faruki
,mdmuzahidul islam,,sir slemder stay ak Hoya Kaz koren
,SIU07,,Boycott bnp
,Md ibahimalli,,
,md mosharof,,
,Parrafin,,"বাংলাদেশ শিবির লাস ভেগাস, আমেরিকা শাখার পক্ষ থেকে শুভকামনা"
,Md Tariku,,"এক সরকার নয় বার বার,,"
,Md Liton,,
,Hasnat Babur,,পুরাই ব‍্যর্থ
,Entertainment বিনোদন,,ছাত্র জনতা জিন্দাবাদ
,Siam Mahmood,,দেবদাস চক্রবর্তীর ছেলেরা দেখি এখানেও আছে
,BBB,,পালাইতে পারবা না চাচা
,Md Polash,,পুলিশ হত্যার বিচার কোরবেন ক
,Md Tarikul Islam Taj,,"উত্তরাঞ্চল কেনো অবহেলিত,, জবাব চাই।"
,Shahin,,মাহমুদুর রহমান কে উপদেষ্টা পদে চাই। আইন মন্ত্রী
,Saga Sports,,জয় বাংলা হোগা সামলা জয় বাংলা হোগা সামলা জয় বাংলা হোগা সামলা জয় বাংলা হোগা সামলা
,Jihad Hossen,,Sek Hasina
,MD shohel Ahmed,,ওমান থেকে দেখতেছি
,Ska BD 🌼,,ki
,Md Arif,,জয় বাংলা জয় বঙ্গবন্ধু
,Sabbir Hossain,,
,★AGOCHALO KOTHA★,,বিধবা এবং প্রতিবন্ধী মানুষদের জন্য কিছু করা দরকার তাদের
,kamrul Hasanকামরুল হাসান,,আফছোসলীগ কই ?
,Md Manna,,"বাকাল ইউনিয়ন জামায়াতে ইসলামী পক্ষ থেকে শুভেচ্ছা ও অভিনন্দন, আগৈলঝাড়া উপজেলা,বরিশাল জেলা।"
,Md Ali Hossain,,তারা আবার ফিরে আসবে
,Ashraf Haque,,"আসসালামুয়ালাইকুম, স্যার।"
,AACCD,,jamajat
,MD. SHAKIB HOSSEN,,okikk
,E.M.A HABIB,,ema habib
,Tuhh Fhj,,রাতে আয়াতুল কুরসি পড়ে ঘুমালে সারারাত একজন ফেরেশতা পাহারা দেয়। আলহামদুলিল্লাহ
,LADEN,,bnp
,Akhi Akter Panna,,puraton vashon
,Tasnim,,sommossa ki
,Md. Sabirul Haque Sabbir,,ফারুকী পদত্যাগ চাই।
,Md Moshiur Rahman,,আট দফা দাবী নিয়ে সরকার বসতিছেনা কেন । এর কারন কি নিশ্চয় মতলব আছে
,Md johirislam,,বাংলাদেশ জিন্দাবাদ জিন্দাপ পীর
,Saga Sports,,জয় বাংলা হোগা সামলা জয় বাংলা হোগা সামলা জয় বাংলা হোগা সামলা
,Lines of Life,,desher Valo hole amra apnake Valo bolbo
,Jason Abid,,ব্যর্থ সরকার
,Aminul Haque,,
,Kingdom bd,,
,Information Zone,,কি হলো
,Chowdhury Ababil,,জয় বাংলা জয় বঙ্গবন্ধু
,Momi Begum,,জয় বাংলা জয় শেখ হাসিনা
,Bengal sultanate,,Bnp Awami league boycott
,ashraf bhuiyan,,৫৩ বছরের মাফিয়াদের কঠিন ভাবে ধরেন
,MD Maruf Ahemed,,tnx unos sir
,MD. SHAKIB HOSSEN,,okkkkkkkkkkkkk
,Sound of Life,,sobai awamilegue comments report koren
,Music Mania,,এখানে না হেগে টয়লেটে যেয়ে হাগ হারপিক লীগ
,Moriam Akter,,দেশটা সুন্দর ভাবে চলুক জাতির দাবি সুন্দর একটি নির্বাচন হোক বৈশ্ব্যমহীন।
,MD JAHIDUL ISLAM,,jamaat
,Saga Sports,,জয় বাংলা হোগা সামলা জয় বাংলা হোগা সামলা
,Rh Hridoy,,জয় বাংলা হোগা সামলা জয় বাংলা হোগা সামলা জয় বাংলা হোগা সামলা
,Zakir Sha,,কি হলো
,MD. Taif,,ইনকিলাব জিন্দাবাদ
,kaji sohag,,যে সরকার প্রশাসন দিয়ে ছাত্রদেরকে কন্ট্রোল করতে পারে না সেই সরকার কিভাবে দেশের নিরীহ মানুষকে নিরাপত্তা দিবে
