Video Time,Commenter,Time,Comment
,PM ARAFAT CHOWDHURY,,"জয় বাংলা, জয় বঙ্গবন্ধু।।"
,Bablu Mia,,মালাউন লীগ
,Matin Ansari,,go ahead.
,Mohammad Sumon,,জয় বাংলা জয় বাংলা
,World Sports,,
,Movie Review Baj,,মাহমুদুর রহমান পিনাকী ভট্টাচার্য এবং ইলিয়াস এবং কনক সারোয়ার কে কেন উপদেষ্টা বানানো হইতেছে না????
,(@md mojahid@),,alhamdulillah
,Md Hasan Nkkhan,,মাশাআল্লাহ
,Voice of Another,,আমরা সবাই বাংলাদেশর দালাল হতে চাই
,Md Emon9126,,ইসকন নিষিদ্ধ করা হোক
,Rakib,,ইনকিলাব জিন্দাবাদ
,ToTo MaN BD,,আফসোসলীগ গুলো কোই
,Me Astarul Islam,,
,Naba,,Please ensure the voice of the 24 revolution reflected in running our affairs in your reform. Make sure these revolutionaries do not loose in oblivion. Don’t allow the old and expired to snatch it.
,Muhammad Miad 0.2,,জালেম লীগ
,shahid shah,,আপনার জন্য অনেক দোয়া রইল স্যার
,Mohammad Sumon,,নৌকা
,Noore Alam,,নৌকা
,Mr. Sharif,,
,Roy LX,,জয় বাংলা জয় বঙ্গবন্ধু
,Rafi Ahmed,,"স্যার, নির্বাচন কবে দিবেন?"
,US Dollor,,
,SUHEL RANA,,নাটক কম করো পিও
,Times-Meta,,দেশের বর্তমান অর্থ নীতি পরিস্থিতি খুব খারাপ ২০ কোটি মানুষের কথা চিন্তা করেন দেশে প্রতিদিন আন্দোলন মিছিল আর ভালো লাগছে না মানুষ অনেক কষ্টের মধ্যে আছে
,Md Hsn,,
,Nutri,,harpic league chole asche
,Shoruv Hasan,,একজন ভালো মানুষ
,Tirtha Sarkar,,জয় বাংলা
,PM ARAFAT CHOWDHURY,,"জয় বাংলা, জয় বঙ্গবন্ধু"
,imranbin 2002,,আপনি আরো স্ট্রং হোন
,Reksona Halsana,,right sir
,Md Alamin,,
,aitullakhan shaheb,,কথায় আমাদের পেট ভরবে না আমরা সংস্কার দৃশ্যমান দেখতে চাই।
,Joy Khan,,dadu chole jaw
,Fardin Islam,,joy bongobondhu
,FreeFire lover,,শুভ কামনা রইল সরকারের জন্য
,Sahidul Islam,,Joy Bangla Jai bangabandhu
,MD Shamaun Morol,,সুধখোর
,sanjoy sarker,,joy bangla
,Md Salim,,ক্ষমতার হাত বদল হয়েছে
,Md.Mahmudul Hasan,,কি করলেন এই ১০০ দিনে?
,MD Shafiqul Islam,,কাতার থেকে
,"Md,Nazir Hossain Hossain",,ভালো কিছু আশা করছি
,UNKNOWN CREATOR,,iskon er maire cdi
,Mohammad Sumon,,শেখ হাসিনার সরকার বার বার দরকার
,MR_SHORTS_35,,
,PM ARAFAT CHOWDHURY,,নৌকা
,Hacking_Comunity_Bangladesh[HCB],,joy Bangla
,ABID MUBIN,,amar free fire
,Shofiqul Islam,,bnp
,MD SUIAB HASAN,,
,md mamun,,আওয়ামী লীগ নিপাত যাক বাংলাদেশ জিন্দাবাদ
,Ra Rumon,,জয় বাংলা
,Md Hasan Nkkhan,,
,Mohaimen Polok,,মালাউন লীগ চলে আসছে
,Fardin Islam,,JOY BONGOBONDHU
,Nahid Islam official,,ফারকির অপসারন চাই
,Riyad Hossen,,joy bangla
,Abc@123,,"আলহামদুলিল্লাহ,,,, আওয়ামী সৈরাচার মুক্ত বাংলাদেশ চাই"
,Mr. Sharif,,সাংবাদিক ইলিয়াস ভাই কে উপদেষ্টা বানানো হোক
